title                             | id                          | version         | screensaver-title        | package-size | billing-state | bs-libraries-provided | bs-libraries-required   | build-version | bytecode-version | dev-id                                   | dial-title         | expire-date | has-background-task | has-bs-library | has-homescreen-items | has-list-grid-ui | has-remote-sound | has-rsg-components | has-screensaver | has-screensaver-settings | has-theme | has-ui | is-bytecode-package | is-compiled | is-hidden | is-instant-on | is-mounted | is-ndk | is-paid-for | is-rsg-app | is-rsg-component-library | is-server-managed | is-static | is-subscription | is-titan-app | last-exit-code       | location           | major-version | minor-version | package-checksum                                                 | package-format | payment-schedule | renewal-date | rsg-component-libraries-required | sync-scope | ui-resolutions
Grand Central                     | 155883                      | 7.0.11          |                          | 5173248      | Valid         |                       | roku_ads_lib            | 11            | 17               | 3a094b55a51ad9e4fef7ff290cd181798d132ee7 |                    |             | false               | false          | false                | false            | false            | true               | false           | false                    | false     | false  | true                | true        | true      | false         | true       | false  | true        |            | true                     | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 7             | 0             | 69eb9c7683203a000f448fe8241ad6c0beca4c64639bfddcad15dc4139fd28b4 | squashfs-zlib  | None             |              |                                  | public     |               
HBO Max                           | 61322                       | 50.60.70744     |                          | 3491824      | Valid         |                       | roku_ads_lib            | 70744         | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 50            | 60            | d2ecb4941ffbde407ac271e3bc12ea23fadac0c0                         | n/a            | None             |              | roku_analytics                   | public     | hd            
Hulu                              | 2285                        | 6.57.0          | Hulu                     | 4045728      | Valid         |                       |                         | 0             | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | true            |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 6             | 57            | 9f55a8d69f14500657bac517dab94ecf98c3601a                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
Interactive Ads Library           | 260537                      | 3.46.0          |                          | 40960        | Valid         | googleima3            |                         | 0             |                  | 9be9be138ae3bc207135a9fd30f461ab5fd1e7e9 |                    |             | false               | true           | false                | false            | false            | false              | false           |                          | false     | false  | false               | false       | true      | false         | false      | false  | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 3             | 46            | 8b29f7eb1a8eb952edf04023a74f58272b704e566487c9495273ddbef50b0c37 | zip            | None             |              |                                  | public     |               
Juneteenth Screensaver            | 630856                      | 1.6.2           | Juneteenth Screensaver   | 3799952      | Valid         |                       |                         | 2             |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | true            |                          | false     | false  | false               | false       | true      | false         | false      | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | unloaded           | 1             | 6             | eab82cc3c325cbebf720eec5c4a38958ac3ff232                         | n/a            | None             |              |                                  | public     |               
Juneteenth Wallpaper              | 630932                      | 1.5.0           |                          | 2480512      | Valid         |                       |                         | 00000         |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | true      | false  | false               | false       | true      | false         | false      | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | unloaded           | 1             | 5             | 902197ffcc58dc6c286e7899670dadfc3a93b68d                         | n/a            | None             |              |                                  | public     |               
Jungle Screensaver                | 579129                      | 1.3.36          | Jungle Screensaver       | 5599232      | Valid         |                       |                         | 36            |                  | a7dec7e2a2ff21c941860c06aacb30868a65f58f |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | true      | false         | false      | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 3             | 0f76b9f3e848c76cbecea5e616271a7778d333100262b8003484469592efead2 | cramfs         | None             |              |                                  | public     |               
Jungle Sounds                     | 594866                      | 1.3.0           |                          | 1552384      | Valid         |                       |                         | 00000         |                  | 4e3cf1ad0f8518b17451f16eb35c9968002e42e6 |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | true      | false  | false               | false       | true      | false         | true       | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 3             | ec6a40f2614d06c441798b67038aa28f790903101d2450b0d7b76c21bbcc43d5 | zip            | None             |              |                                  | public     |               
Jungle Wallpaper                  | 579096                      | 1.3.0           |                          | 1470464      | Valid         |                       |                         | 00000         |                  | 2b04830165cd7a9390005f803ee3e0adfb4e4242 |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | true      | false  | false               | false       | true      | false         | true       | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 3             | ff69530f3a62ca9edf2db9ce0ec51b7010faf5db3b376ca99634ba5b6b059b3d | zip            | None             |              |                                  | public     |               
Kids & Family on The Roku Channel | 606242                      | 5.5.8           |                          | 445360       | Valid         |                       | roku_ads_lib            | 8             |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 5             | 5             | f1a7cda0a8a9731e6ce51c1b83ffc40a030bb346                         | n/a            | None             |              | roku_grandcentral                | public     | hd,fhd        
